,BHEvaluation,BHEvaluation,UHB,UHB,OUH,OUH,PUH,PUH
,TPR,FPR,TPR,FPR,TPR,FPR,TPR,FPR
Value,,,,,,,,
116,0.7310344827586207,0.1579961464354528,0.9313725490196079,0.40166865315852207,0.081419624217119,0.004510735550610453,0.15188172043010753,0.0062861026163778455
117,0.7310344827586207,0.15895953757225434,0.9313725490196079,0.4064362336114422,0.08350730688935282,0.004510735550610453,0.15188172043010753,0.0063710499490316
118,0.7379310344827587,0.15895953757225434,0.9411764705882353,0.4064362336114422,0.08350730688935282,0.004570878691285259,0.1532258064516129,0.0063710499490316
119,0.7379310344827587,0.17630057803468208,0.9411764705882353,0.41477949940405245,0.08455114822546973,0.004570878691285259,0.1532258064516129,0.006455997281685355
120,0.7448275862068966,0.17630057803468208,0.9509803921568627,0.41477949940405245,0.08559498956158663,0.004570878691285259,0.1538978494623656,0.006455997281685355
121,0.7448275862068966,0.1811175337186898,0.9509803921568627,0.5423122765196663,0.0861169102296451,0.004570878691285259,0.1538978494623656,0.00654094461433911
122,0.7517241379310344,0.1811175337186898,0.9607843137254902,0.5423122765196663,0.087160751565762,0.004570878691285259,0.15524193548387097,0.00654094461433911
123,0.7517241379310344,0.18689788053949905,0.9607843137254902,0.5601907032181168,0.08924843423799582,0.004570878691285259,0.15524193548387097,0.006625891946992864
124,0.7586206896551724,0.18689788053949905,0.9705882352941176,0.5601907032181168,0.08924843423799582,0.004691164972634871,0.15591397849462366,0.006625891946992864
125,0.7586206896551724,0.197495183044316,0.9705882352941176,0.601907032181168,0.08977035490605428,0.004691164972634871,0.15591397849462366,0.006710839279646619
126,0.7724137931034483,0.197495183044316,0.9803921568627451,0.601907032181168,0.08977035490605428,0.004751308113309677,0.1592741935483871,0.006710839279646619
127,0.7724137931034483,0.21290944123314065,0.9803921568627451,0.635280095351609,0.09081419624217119,0.004751308113309677,0.1592741935483871,0.006880733944954129
128,0.7793103448275862,0.21290944123314065,0.9901960784313726,0.635280095351609,0.09081419624217119,0.004811451253984483,0.16196236559139784,0.006880733944954129
129,0.7793103448275862,0.21676300578034682,0.9901960784313726,0.9046483909415971,0.09133611691022965,0.004811451253984483,0.16196236559139784,0.007050628610261638
130,0.7931034482758621,0.21676300578034682,1.0,0.9046483909415971,0.09133611691022965,0.004871594394659289,0.16263440860215053,0.007050628610261638
131,0.7931034482758621,0.220616570327553,1.0,1.0,0.09237995824634655,0.004871594394659289,0.16263440860215053,0.007135575942915392
132,0.8,0.220616570327553,,,0.09237995824634655,0.004931737535334095,0.16330645161290322,0.007135575942915392
133,0.8,0.23121387283236994,,,0.09342379958246347,0.004931737535334095,0.16330645161290322,0.007220523275569147
134,0.8068965517241379,0.23121387283236994,,,0.09342379958246347,0.005052023816683707,0.1646505376344086,0.007220523275569147
135,0.8068965517241379,0.23892100192678228,,,0.0965553235908142,0.005052023816683707,0.1646505376344086,0.007305470608222901
136,0.8137931034482758,0.23892100192678228,,,0.0965553235908142,0.00517231009803332,0.16532258064516128,0.007305470608222901
137,0.8137931034482758,0.24084778420038536,,,0.09812108559498957,0.00517231009803332,0.16532258064516128,0.007390417940876657
138,0.8206896551724138,0.24084778420038536,,,0.09812108559498957,0.005292596379382931,0.16599462365591397,0.007390417940876657
139,0.8206896551724138,0.2581888246628131,,,0.09864300626304802,0.005292596379382931,0.16599462365591397,0.007560312606184166
140,0.8275862068965517,0.2581888246628131,,,0.09864300626304802,0.005352739520057738,0.1693548387096774,0.007560312606184166
141,0.8275862068965517,0.2630057803468208,,,0.09916492693110647,0.005352739520057738,0.1693548387096774,0.007730207271491675
142,0.8344827586206897,0.2630057803468208,,,0.09916492693110647,0.005412882660732543,0.17473118279569894,0.007730207271491675
143,0.8344827586206897,0.26685934489402696,,,0.10020876826722339,0.005412882660732543,0.17473118279569894,0.00781515460414543
144,0.8482758620689655,0.26685934489402696,,,0.10020876826722339,0.005533168942082155,0.17540322580645162,0.00781515460414543
145,0.8482758620689655,0.2745664739884393,,,0.10125260960334029,0.005533168942082155,0.17540322580645162,0.007900101936799185
146,0.8551724137931035,0.2745664739884393,,,0.10125260960334029,0.0055933120827569615,0.1760752688172043,0.007900101936799185
147,0.8551724137931035,0.2813102119460501,,,0.10177453027139875,0.0055933120827569615,0.1760752688172043,0.007985049269452938
148,0.8620689655172413,0.2813102119460501,,,0.10177453027139875,0.005653455223431768,0.17809139784946237,0.007985049269452938
149,0.8620689655172413,0.2842003853564547,,,0.10334029227557412,0.005653455223431768,0.17809139784946237,0.008069996602106694
150,0.8689655172413793,0.2842003853564547,,,0.10334029227557412,0.005833884645456186,0.17876344086021506,0.008069996602106694
151,0.8689655172413793,0.28901734104046245,,,0.10542797494780794,0.005833884645456186,0.17876344086021506,0.008239891267414203
152,0.8758620689655172,0.28901734104046245,,,0.10542797494780794,0.005954170926805798,0.18010752688172044,0.008239891267414203
153,0.8758620689655172,0.2947976878612717,,,0.1080375782881002,0.005954170926805798,0.18010752688172044,0.008324838600067958
154,0.8827586206896552,0.2947976878612717,,,0.1080375782881002,0.00607445720815541,0.18077956989247312,0.008324838600067958
155,0.8827586206896552,0.315028901734104,,,0.10908141962421712,0.00607445720815541,0.18077956989247312,0.008409785932721712
156,0.8896551724137931,0.315028901734104,,,0.10960334029227557,0.00607445720815541,0.1814516129032258,0.008409785932721712
157,0.8896551724137931,0.33429672447013487,,,0.10960334029227557,0.006254886630179828,0.1814516129032258,0.008494733265375467
158,0.896551724137931,0.33429672447013487,,,0.11116910229645094,0.006254886630179828,0.1821236559139785,0.008494733265375467
159,0.896551724137931,0.3371868978805395,,,0.11116910229645094,0.0064954591928790524,0.1821236559139785,0.008664627930682976
160,0.903448275862069,0.3371868978805395,,,0.11221294363256785,0.0064954591928790524,0.1827956989247312,0.008664627930682976
161,0.903448275862069,0.33815028901734107,,,0.11221294363256785,0.006736031755578276,0.1827956989247312,0.00891946992864424
162,0.9103448275862069,0.33815028901734107,,,0.11430062630480167,0.006736031755578276,0.18548387096774194,0.00891946992864424
163,0.9103448275862069,0.3448940269749518,,,0.11430062630480167,0.006856318036927888,0.18548387096774194,0.009004417261297996
164,0.9172413793103448,0.3448940269749518,,,0.11534446764091857,0.006856318036927888,0.1868279569892473,0.009004417261297996
165,0.9172413793103448,0.35645472061657035,,,0.11534446764091857,0.0070968905996271125,0.1868279569892473,0.00908936459395175
166,0.9241379310344827,0.35645472061657035,,,0.11586638830897704,0.0070968905996271125,0.18884408602150538,0.00908936459395175
167,0.9241379310344827,0.3651252408477842,,,0.11586638830897704,0.007157033740301919,0.18884408602150538,0.009259259259259259
168,0.9310344827586207,0.3651252408477842,,,0.11951983298538622,0.007157033740301919,0.19018817204301075,0.009259259259259259
169,0.9310344827586207,0.41811175337186895,,,0.11951983298538622,0.007277320021651531,0.19018817204301075,0.009344206591913014
170,0.9379310344827586,0.41811175337186895,,,0.12160751565762004,0.007277320021651531,0.1922043010752688,0.009344206591913014
171,0.9379310344827586,0.4238921001926782,,,0.12160751565762004,0.007337463162326337,0.1922043010752688,0.009429153924566768
172,0.9448275862068966,0.4238921001926782,,,0.12421711899791232,0.007337463162326337,0.1935483870967742,0.009429153924566768
173,0.9448275862068966,0.464354527938343,,,0.12421711899791232,0.0073976063030011426,0.1935483870967742,0.009599048589874279
174,0.9517241379310345,0.464354527938343,,,0.12473903966597077,0.0073976063030011426,0.19959677419354838,0.009599048589874279
175,0.9517241379310345,0.4836223506743738,,,0.12473903966597077,0.007517892584350754,0.19959677419354838,0.009683995922528032
176,0.9586206896551724,0.4836223506743738,,,0.12526096033402923,0.007517892584350754,0.20026881720430106,0.009683995922528032
177,0.9586206896551724,0.5019267822736031,,,0.12526096033402923,0.007638178865700367,0.20026881720430106,0.009768943255181788
178,0.9655172413793104,0.5019267822736031,,,0.12630480167014613,0.007638178865700367,0.2049731182795699,0.009768943255181788
179,0.9655172413793104,0.5317919075144508,,,0.12630480167014613,0.00805918085042401,0.2049731182795699,0.009853890587835541
180,0.9724137931034482,0.5317919075144508,,,0.12839248434237996,0.00805918085042401,0.2056451612903226,0.009853890587835541
181,0.9724137931034482,0.5568400770712909,,,0.12839248434237996,0.00817946713177362,0.2056451612903226,0.009938837920489297
182,0.9793103448275862,0.5568400770712909,,,0.12839248434237996,0.008239610272448428,0.20631720430107528,0.009938837920489297
183,0.9793103448275862,0.5626204238921002,,,0.1299582463465553,0.008239610272448428,0.20631720430107528,0.010108732585796806
184,0.9862068965517241,0.5626204238921002,,,0.1299582463465553,0.008299753413123234,0.20967741935483872,0.010108732585796806
185,0.9862068965517241,0.6425818882466281,,,0.1304801670146138,0.008299753413123234,0.20967741935483872,0.010193679918450561
186,0.993103448275862,0.6425818882466281,,,0.1304801670146138,0.008359896553798039,0.21236559139784947,0.010193679918450561
187,0.993103448275862,0.6782273603082851,,,0.1315240083507307,0.008359896553798039,0.21236559139784947,0.010278627251104315
188,1.0,0.6782273603082851,,,0.1315240083507307,0.008420039694472845,0.21438172043010753,0.010278627251104315
189,1.0,1.0,,,0.13204592901878914,0.008420039694472845,0.21438172043010753,0.01036357458375807
190,,,,,0.13204592901878914,0.008540325975822457,0.21706989247311828,0.01036357458375807
191,,,,,0.1325678496868476,0.008540325975822457,0.21706989247311828,0.010448521916411825
192,,,,,0.1325678496868476,0.008600469116497263,0.21841397849462366,0.010448521916411825
193,,,,,0.13308977035490605,0.008600469116497263,0.21841397849462366,0.010618416581719334
194,,,,,0.13308977035490605,0.008720755397846875,0.22043010752688172,0.010618416581719334
195,,,,,0.13465553235908143,0.008720755397846875,0.22043010752688172,0.010703363914373088
196,,,,,0.13465553235908143,0.008780898538521681,0.2211021505376344,0.010703363914373088
197,,,,,0.13622129436325678,0.008780898538521681,0.2211021505376344,0.010958205912334353
198,,,,,0.13622129436325678,0.008841041679196488,0.22244623655913978,0.010958205912334353
199,,,,,0.1372651356993737,0.008841041679196488,0.22244623655913978,0.011043153244988108
200,,,,,0.1372651356993737,0.008961327960546099,0.22446236559139784,0.011043153244988108
201,,,,,0.13883089770354906,0.008961327960546099,0.22446236559139784,0.011213047910295617
202,,,,,0.13883089770354906,0.009021471101220906,0.22513440860215053,0.011213047910295617
