,OUH,OUH,BHEvaluation,BHEvaluation,UHB,UHB,PUH,PUH
,TPR,FPR,TPR,FPR,TPR,FPR,TPR,FPR
Value,,,,,,,,
97,0.0360125260960334,0.008299753413123234,0.503448275862069,0.14450867052023122,0.7156862745098039,0.28128724672228844,0.05241935483870968,0.010448521916411825
98,0.03653444676409186,0.008299753413123234,0.503448275862069,0.1464354527938343,0.7254901960784313,0.28128724672228844,0.05241935483870968,0.010618416581719334
99,0.03653444676409186,0.008359896553798039,0.5172413793103449,0.1464354527938343,0.7254901960784313,0.3039332538736591,0.05309139784946237,0.010618416581719334
100,0.037056367432150315,0.008359896553798039,0.5172413793103449,0.14739884393063585,0.7450980392156863,0.3039332538736591,0.05309139784946237,0.010703363914373088
101,0.037056367432150315,0.008480182835147652,0.5241379310344828,0.14739884393063585,0.7450980392156863,0.3134684147794994,0.053763440860215055,0.010703363914373088
102,0.038100208768267224,0.008480182835147652,0.5241379310344828,0.14836223506743737,0.7549019607843137,0.3134684147794994,0.053763440860215055,0.010958205912334353
103,0.038100208768267224,0.008720755397846875,0.5310344827586206,0.14836223506743737,0.7549019607843137,0.3146603098927294,0.05443548387096774,0.010958205912334353
104,0.03914405010438413,0.008720755397846875,0.5310344827586206,0.1531791907514451,0.7647058823529411,0.3146603098927294,0.05443548387096774,0.011213047910295617
105,0.03914405010438413,0.009141757382570517,0.5379310344827586,0.1531791907514451,0.7647058823529411,0.3218116805721097,0.05510752688172043,0.011213047910295617
106,0.03966597077244259,0.009141757382570517,0.5379310344827586,0.15414258188824662,0.7745098039215687,0.3218116805721097,0.05510752688172043,0.011382942575603126
107,0.03966597077244259,0.009201900523245325,0.5448275862068965,0.15414258188824662,0.7745098039215687,0.3253873659117998,0.05577956989247312,0.011382942575603126
108,0.0407098121085595,0.009201900523245325,0.5448275862068965,0.16859344894026976,0.7843137254901961,0.3253873659117998,0.05577956989247312,0.0118076792388719
109,0.0407098121085595,0.00926204366392013,0.5586206896551724,0.16859344894026976,0.7843137254901961,0.33730631704410013,0.056451612903225805,0.0118076792388719
110,0.04123173277661795,0.00926204366392013,0.5586206896551724,0.1724470134874759,0.7941176470588235,0.33730631704410013,0.056451612903225805,0.011892626571525655
111,0.04123173277661795,0.009442473085944548,0.5655172413793104,0.1724470134874759,0.7941176470588235,0.41835518474374256,0.05712365591397849,0.011892626571525655
112,0.04175365344467641,0.009442473085944548,0.5655172413793104,0.17630057803468208,0.803921568627451,0.41835518474374256,0.05712365591397849,0.012232415902140673
113,0.04175365344467641,0.009983761352017803,0.5724137931034483,0.17630057803468208,0.803921568627451,0.4195470798569726,0.05779569892473118,0.012232415902140673
114,0.042275574112734866,0.009983761352017803,0.5724137931034483,0.17726396917148363,0.8137254901960784,0.4195470798569726,0.05779569892473118,0.012487257900101937
115,0.042275574112734866,0.010284477055391832,0.5793103448275863,0.17726396917148363,0.8137254901960784,0.42073897497020263,0.05846774193548387,0.012487257900101937
116,0.04279749478079332,0.010284477055391832,0.5793103448275863,0.17822736030828518,0.8333333333333334,0.42073897497020263,0.05846774193548387,0.012657152565409446
117,0.04279749478079332,0.010525049618091057,0.5862068965517241,0.17822736030828518,0.8333333333333334,0.4302741358760429,0.05913978494623656,0.012657152565409446
118,0.04384133611691023,0.010525049618091057,0.5862068965517241,0.1811175337186898,0.8431372549019608,0.4302741358760429,0.05913978494623656,0.01291199456337071
119,0.04384133611691023,0.011006194743489505,0.593103448275862,0.1811175337186898,0.8431372549019608,0.4684147794994041,0.05981182795698925,0.01291199456337071
120,0.044363256784968684,0.011006194743489505,0.593103448275862,0.18304431599229287,0.8529411764705882,0.4684147794994041,0.05981182795698925,0.012996941896024464
121,0.044363256784968684,0.01106633788416431,0.6137931034482759,0.18304431599229287,0.8529411764705882,0.4696066746126341,0.06048387096774194,0.012996941896024464
122,0.04488517745302714,0.01106633788416431,0.6137931034482759,0.18400770712909442,0.8627450980392157,0.4696066746126341,0.06048387096774194,0.013761467889908258
123,0.04488517745302714,0.011186624165513923,0.6206896551724138,0.18400770712909442,0.8627450980392157,0.4803337306317044,0.06182795698924731,0.013761467889908258
124,0.04540709812108559,0.011186624165513923,0.6206896551724138,0.18786127167630057,0.8725490196078431,0.4803337306317044,0.06182795698924731,0.013846415222562011
125,0.04540709812108559,0.011667769290912372,0.6275862068965518,0.18786127167630057,0.8725490196078431,0.4922526817640048,0.0625,0.013846415222562011
126,0.04592901878914405,0.011667769290912372,0.6275862068965518,0.18882466281310212,0.8921568627450981,0.4922526817640048,0.0625,0.014101257220523276
127,0.04592901878914405,0.01184819871293679,0.6344827586206897,0.18882466281310212,0.8921568627450981,0.4958283671036949,0.06384408602150538,0.014101257220523276
128,0.04645093945720251,0.01184819871293679,0.6344827586206897,0.2003853564547206,0.9019607843137255,0.4958283671036949,0.06384408602150538,0.014271151885830785
129,0.04645093945720251,0.011968484994286401,0.6413793103448275,0.2003853564547206,0.9019607843137255,0.5041716328963052,0.06451612903225806,0.014271151885830785
130,0.04697286012526096,0.011968484994286401,0.6413793103448275,0.20134874759152216,0.9117647058823529,0.5041716328963052,0.06451612903225806,0.014780835881753314
131,0.04697286012526096,0.012810488963733687,0.6482758620689655,0.20134874759152216,0.9117647058823529,0.5077473182359953,0.06586021505376344,0.014780835881753314
132,0.049060542797494784,0.012810488963733687,0.6482758620689655,0.20327552986512523,0.9215686274509803,0.5077473182359953,0.06586021505376344,0.014865783214407067
133,0.049060542797494784,0.012930775245083298,0.6551724137931034,0.20327552986512523,0.9215686274509803,0.5292014302741359,0.06653225806451613,0.014865783214407067
134,0.049582463465553235,0.012930775245083298,0.6551724137931034,0.2119460500963391,0.9313725490196079,0.5292014302741359,0.06653225806451613,0.015545361875637105
135,0.049582463465553235,0.012990918385758105,0.6620689655172414,0.2119460500963391,0.9313725490196079,0.5971394517282479,0.0678763440860215,0.015545361875637105
136,0.05010438413361169,0.012990918385758105,0.6620689655172414,0.21965317919075145,0.9411764705882353,0.5971394517282479,0.0678763440860215,0.01563030920829086
137,0.05010438413361169,0.01305106152643291,0.6689655172413793,0.21965317919075145,0.9411764705882353,0.6102502979737783,0.06854838709677419,0.01563030920829086
138,0.050626304801670144,0.01305106152643291,0.6689655172413793,0.2254335260115607,0.9509803921568627,0.6102502979737783,0.06854838709677419,0.015970098538905877
139,0.050626304801670144,0.013111204667107716,0.6758620689655173,0.2254335260115607,0.9509803921568627,0.6328963051251489,0.06922043010752688,0.015970098538905877
140,0.0511482254697286,0.013111204667107716,0.6758620689655173,0.24855491329479767,0.9607843137254902,0.6328963051251489,0.06922043010752688,0.016055045871559634
141,0.0511482254697286,0.013231490948457329,0.6827586206896552,0.24855491329479767,0.9607843137254902,0.6495828367103695,0.06989247311827956,0.016055045871559634
142,0.0511482254697286,0.01353220665183136,0.6827586206896552,0.2524084778420039,0.9705882352941176,0.6495828367103695,0.06989247311827956,0.01622494053686714
143,0.05167014613778706,0.01353220665183136,0.6896551724137931,0.2524084778420039,0.9705882352941176,0.6674612634088201,0.07190860215053764,0.01622494053686714
144,0.05167014613778706,0.013712636073855776,0.6896551724137931,0.26396917148362237,0.9803921568627451,0.6674612634088201,0.07190860215053764,0.0163098878695209
145,0.05219206680584551,0.013712636073855776,0.7034482758620689,0.26396917148362237,0.9803921568627451,0.7735399284862932,0.07325268817204302,0.0163098878695209
146,0.05219206680584551,0.013832922355205389,0.7034482758620689,0.2678227360308285,0.9901960784313726,0.7735399284862932,0.07325268817204302,0.016564729867482163
147,0.05271398747390397,0.013832922355205389,0.7103448275862069,0.2678227360308285,0.9901960784313726,0.7818831942789034,0.0739247311827957,0.016564729867482163
148,0.05271398747390397,0.013893065495880194,0.7103448275862069,0.2745664739884393,1.0,0.7818831942789034,0.0739247311827957,0.017414203194019706
149,0.05271398747390397,0.014013351777229807,0.7172413793103448,0.2745664739884393,1.0,1.0,0.07459677419354839,0.017414203194019706
150,0.05271398747390397,0.014073494917904612,0.7172413793103448,0.2774566473988439,,,0.07459677419354839,0.017584097859327217
151,0.05323590814196242,0.014073494917904612,0.7241379310344828,0.2774566473988439,,,0.07526881720430108,0.017584097859327217
152,0.05323590814196242,0.01425392433992903,0.7241379310344828,0.2813102119460501,,,0.07526881720430108,0.018093781855249746
153,0.05375782881002088,0.01425392433992903,0.7310344827586207,0.2813102119460501,,,0.07594086021505377,0.018093781855249746
154,0.05375782881002088,0.015095928309376316,0.7310344827586207,0.2832369942196532,,,0.07594086021505377,0.018263676520557253
155,0.054801670146137786,0.015095928309376316,0.7448275862068966,0.2832369942196532,,,0.07661290322580645,0.018263676520557253
156,0.054801670146137786,0.015276357731400734,0.7448275862068966,0.2880539499036609,,,0.07661290322580645,0.018433571185864764
157,0.055323590814196244,0.015276357731400734,0.7517241379310344,0.2880539499036609,,,0.07728494623655914,0.018433571185864764
158,0.055323590814196244,0.015516930294099958,0.7517241379310344,0.28998073217726394,,,0.07728494623655914,0.018688413183826028
159,0.055845511482254695,0.015516930294099958,0.7586206896551724,0.28998073217726394,,,0.07795698924731183,0.018688413183826028
160,0.055845511482254695,0.015757502856799183,0.7586206896551724,0.29383429672447015,,,0.07795698924731183,0.018858307849133536
161,0.05636743215031315,0.015757502856799183,0.7655172413793103,0.29383429672447015,,,0.07862903225806452,0.018858307849133536
162,0.05636743215031315,0.0159379322788236,0.7655172413793103,0.2976878612716763,,,0.07862903225806452,0.019028202514441046
163,0.05741127348643006,0.0159379322788236,0.7724137931034483,0.2976878612716763,,,0.0793010752688172,0.019028202514441046
